name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dortmund,2018-07-03,29,10.2,21.3,27.5,10.2,20.9,5.1,38.1,0,0,0,,,,,11.2,104.8,,0,10,288.2,24.8,8,,2018-07-03T05:18:37,2018-07-03T21:49:47,0.62,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-04,29.9,15.1,22.4,28.9,15.1,22.3,12.1,53.7,0.1,100,4.17,rain,,,,18,159.7,,7.6,10,216.3,18.5,8,,2018-07-04T05:19:24,2018-07-04T21:49:20,0.66,Rain,Clear conditions throughout the day with afternoon rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-05,26.1,16.1,21.5,26.1,16.1,21.5,14.4,66.1,1,100,41.67,rain,,,,16.5,257.8,,13.3,10,225.1,19.4,7,,2018-07-05T05:20:13,2018-07-05T21:48:50,0.71,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-06,26,12.2,19,26,12.2,19,12,67,0,0,0,,,,,13.3,303,,40.1,10,192,16.6,9,,2018-07-06T05:21:04,2018-07-06T21:48:17,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-07,26,14,19.9,26,14,19.9,8.4,48.8,0,0,0,,,,,20.7,198.5,,26.8,10,289.6,25,9,,2018-07-07T05:21:58,2018-07-07T21:47:41,0.82,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-08,25,10.1,18.3,25,10.1,18.3,8.8,58.1,0,0,0,,,,31.7,16.6,275.7,,2.4,10,292.9,25.2,9,,2018-07-08T05:22:54,2018-07-08T21:47:02,0.87,Clear,Clear conditions throughout the day.,clear-day,"10416099999,10400099999,EDDG,EDDL,10315099999,EDLW,AS204"
Dortmund,2018-07-09,22.1,11.1,17.7,22.1,11.1,17.7,11.5,68.2,0.3,100,12.5,rain,,,38.9,20.3,271.9,,32.8,10,162.2,13.8,7,,2018-07-09T05:23:52,2018-07-09T21:46:21,0.91,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-10,16.1,12.2,14.3,16.1,12.2,14.3,10.9,80.2,1.8,100,37.5,rain,,,,25.9,247.9,,73.9,9.7,91.1,7.9,3,,2018-07-10T05:24:53,2018-07-10T21:45:36,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-11,19.1,11,15.2,19.1,11,15.2,12.8,86.1,2.2,100,33.33,rain,,,,9.9,281.8,,72.3,9.3,90.2,7.8,4,,2018-07-11T05:25:55,2018-07-11T21:44:48,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
Dortmund,2018-07-12,25.1,14,18.4,25.1,14,18.4,15.2,83.7,0,0,0,,,,,13,234.3,,75.4,7.2,236.5,20.4,8,,2018-07-12T05:27:00,2018-07-12T21:43:58,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"10416099999,10400099999,EDDG,EDDL,EDLW,AS204"
